Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,Q2 2023,Q3 2023,Q3 2023 chg,Q4 2023,Q4 2023 chg,Q1 2024,Q1 2024 chg,Q2 2024,Q2 2024 chg,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,EPS,CY2027,17.652,17.155,-2.8%,17.598,+2.6%,18.086,+2.8%,18.292,+1.1%,18.1,-1.0%,17.698,-2.2%,17.422,-1.6%,17.747,+1.9%,18.297,+3.1%,18.74,+2.4%,19.006,+1.4%,372.88,19.6,+9.1%,-22.9%,-22.1%,+3.6%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,EPS,CY2028,20.208,19.385,-4.1%,19.496,+0.6%,20.526,+5.3%,20.523,-0.0%,20.235,-1.4%,20.126,-0.5%,19.939,-0.9%,21.158,+6.1%,21.321,+0.8%,22.12,+3.7%,22.372,+1.1%,372.88,16.7,+12.2%,-22.9%,-22.1%,+3.6%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,EPS,CY2025,11.034,11.079,+0.4%,11.069,-0.1%,11.059,-0.1%,11.15,+0.8%,11.01,-1.3%,11.095,+0.8%,11.105,+0.1%,10.812,-2.6%,10.728,-0.8%,10.723,-0.0%,,,303.33,28.3,-3.4%,-13.5%,-15.2%,-3.1%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,EPS,CY2026,8.51,8.9,+4.6%,12.717,+42.9%,12.676,-0.3%,12.642,-0.3%,12.471,-1.4%,12.54,+0.6%,12.689,+1.2%,12.674,-0.1%,12.747,+0.6%,12.691,-0.4%,12.651,-0.3%,303.33,24.0,-0.3%,-13.5%,-15.2%,-3.1%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,EPS,CY2027,14.195,14.04,-1.1%,14.373,+2.4%,14.155,-1.5%,14.244,+0.6%,14.068,-1.2%,14.183,+0.8%,14.351,+1.2%,14.305,-0.3%,14.423,+0.8%,14.373,-0.3%,14.47,+0.7%,303.33,21.0,+0.8%,-13.5%,-15.2%,-3.1%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,EPS,CY2028,,15.4,,16.265,+5.6%,16.4,+0.8%,16.29,-0.7%,16.033,-1.6%,15.59,-2.8%,16.126,+3.4%,16.023,-0.6%,16.282,+1.6%,16.224,-0.4%,16.342,+0.7%,303.33,18.6,+1.3%,-13.5%,-15.2%,-3.1%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2025,6.78,6.795,+0.2%,6.151,-9.5%,6.147,-0.1%,6.027,-2.0%,5.897,-2.2%,5.863,-0.6%,5.638,-3.8%,4.837,-14.2%,5.028,+3.9%,5.328,+6.0%,5.343,+0.3%,112.24,21.0,-5.2%,-27.2%,-31.0%,-10.2%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2026,,6.93,,6.358,-8.3%,6.94,+9.2%,6.949,+0.1%,6.951,+0.0%,7.097,+2.1%,6.926,-2.4%,6.397,-7.6%,6.511,+1.8%,6.428,-1.3%,6.336,-1.4%,112.24,17.7,-8.5%,-27.2%,-31.0%,-10.2%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2027,,7.38,,7.14,-3.3%,6.66,-6.7%,6.66,+0.0%,7.65,+14.9%,8.044,+5.2%,8.05,+0.1%,7.887,-2.0%,8.059,+2.2%,7.944,-1.4%,7.835,-1.4%,112.24,14.3,-2.7%,-27.2%,-31.0%,-10.2%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2028,,,,8.015,,7.51,-6.3%,7.51,+0.0%,7.51,+0.0%,9.435,+25.6%,8.277,-12.3%,7.773,-6.1%,8.533,+9.8%,8.817,+3.3%,8.394,-4.8%,112.24,13.4,+1.4%,-27.2%,-31.0%,-10.2%
