Ticker,Group,EPS Type,Year,Q2 2024,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev
HOOD,Watchlist,Adj,CY2026,0.68,0.8,+18.5%,1.19,+48.4%,1.74,+46.3%,1.56,-9.9%,2.13,+36.1%,2.51,+18.0%,2.35,-6.3%,68.9,29.3,+35.6%
HOOD,Watchlist,Adj,CY2027,0.3,0.56,+86.7%,1.49,+166.6%,2.07,+38.8%,1.94,-6.4%,2.43,+25.1%,2.91,+19.9%,2.87,-1.2%,68.9,24.0,+38.5%
HOOD,Watchlist,Adj,CY2028,,,,,,1.91,,1.8,-5.2%,1.99,+10.2%,3.44,+73.1%,3.46,+0.5%,68.9,19.9,+81.7%
TDG,Watchlist,Adj,CY2025,39.1,40.27,+3.0%,37.45,-7.0%,37.38,-0.2%,37.49,+0.3%,36.85,-1.7%,36.62,-0.6%,,,1167.0,31.9,-2.2%
TDG,Watchlist,Adj,CY2026,43.98,45.72,+4.0%,43.2,-5.5%,43.34,+0.3%,43.46,+0.3%,41.5,-4.5%,39.05,-5.9%,39.05,+0.0%,1167.0,29.9,-9.9%
TDG,Watchlist,Adj,CY2027,47.08,49.23,+4.6%,48.56,-1.4%,49.42,+1.8%,49.69,+0.5%,47.99,-3.4%,45.83,-4.5%,45.8,-0.1%,1167.0,25.5,-7.3%
TDG,Watchlist,Adj,CY2028,48.15,50.55,+5.0%,50.55,+0.0%,53.11,+5.1%,52.84,-0.5%,51.64,-2.3%,53.57,+3.7%,52.82,-1.4%,1167.0,22.1,-0.5%
GE,Watchlist,GAAP,CY2025,5.29,5.27,-0.4%,5.19,-1.6%,5.46,+5.2%,5.78,+6.0%,6.11,+5.7%,6.86,+12.3%,6.91,+0.7%,281.16,40.7,+26.6%
GE,Watchlist,GAAP,CY2026,5.85,6.23,+6.5%,6.65,+6.7%,6.48,-2.6%,6.55,+1.2%,7.04,+7.5%,7.75,+10.0%,7.79,+0.5%,281.16,36.1,+20.2%
GE,Watchlist,GAAP,CY2027,6.59,7.35,+11.5%,7.56,+2.9%,7.38,-2.5%,7.62,+3.3%,8.08,+6.1%,8.82,+9.1%,8.96,+1.6%,281.16,31.4,+21.5%
GE,Watchlist,GAAP,CY2028,7.44,8.13,+9.2%,8.43,+3.7%,8.26,-1.9%,8.52,+3.1%,9.2,+8.0%,10.0,+8.6%,10.17,+1.7%,281.16,27.6,+23.1%
LRCX,Watchlist,GAAP,CY2025,3.59,3.57,-0.6%,3.52,-1.3%,3.75,+6.6%,4.01,+6.9%,4.01,+0.0%,,,,,218.44,54.4,+12.5%
LRCX,Watchlist,GAAP,CY2026,4.59,4.55,-0.8%,4.13,-9.2%,3.89,-5.9%,3.98,+2.3%,4.44,+11.7%,4.8,+8.0%,5.29,+10.3%,218.44,41.3,+36.2%
